BSE SYMBOL,ISIN No,Type
BNRSEC,INE710D01028,Equity
RISHITECH,INE989D01010,Equity
ADSDIAG,-,Equity
ZBINTXPP,INE626H01019,Equity
JJFINCOR,INE584C01011,Equity
COSMOFE,INE124B01018,Equity
CROPSTER,INE293E01031,Equity
FUTURSEC,INE425D01015,Equity
SANCTRN,INE391G01012,Equity
THRIVE,INE628D01014,Equity
MEDICAPQ,INE442D01010,Equity
OTCO,INE910B01028,Equity
FOSECOC,INE599F01020,Equity
BAPACK,INE00FM01013,Equity
SRMENERGY,INE173J01018,Equity
CONTPTR,INE369D01023,Equity
NBFOOT,INE006F01018,Equity
MACPLASQ,INE082B01018,Equity
RAMAVISION,INE763B01013,Equity
SHRIGANG,INE241V01018,Equity
PURITY,INE898O01010,Equity
MICROSE,INE809F01015,Equity
MINID,INE281E01028,Equity
HOM,INE982C01033,Equity
ADCINDIA,INE833A01016,Equity
SUNRAJDI,INE459D01014,Equity
INDBNK,INE969D01012,Equity
JAIMATAG,INE250C01027,Equity
LOTUSCHO,INE026D01011,Equity
PACIFICI,INE883C01025,Equity
CMMHOSP,INE889F01017,Equity
UNIOFFICE,INE951C01012,Equity
APMIN,INE170D01025,Equity
KRYPTONQ,INE951B01014,Equity
SWISSMLTRY,INE010C01025,Equity
MARBU,INE199D01016,Equity
INDTONER,INE826B01018,Equity
KUNSTOFF,INE638D01021,Equity
PHRMASI,INE486I01016,Equity
IPRINGLTD,INE558A01019,Equity
YASHINNO,INE823D01011,Equity
KKPLASTICK,INE465K01016,Equity
WATERBASE,INE054C01015,Equity
FLEXFO,INE954B01018,Equity
GOLKUNDIA,INE798D01015,Equity
FORTISMLR,INE842B01015,Equity
SVAMSOF,INE119B01018,Equity
ECOBOAR,INE866A01016,Equity
TIHIL,INE502D01011,Equity
MITSHI,INE844D01017,Equity
SHUKJEW,INE344E01016,Equity
SOVERDIA,INE959D01013,Equity
MUKATPIP,INE862C01029,Equity
INNOVTEC,INE965C01038,Equity
SUPTANERY,INE460D01038,Equity
CONSTRONIC,INE537B01011,Equity
AXTEL,INE767C01012,Equity
EASTINDIA,INE191C01023,Equity
